date,btc_close,composite_score,target_btc_exposure_pct,red_count,green_count,signal,dca_percentile,dca_multiplier,dca_buy_factor,reserve_balance
2016-03-10,415.83,47.75,55.6,0,0,ACCUMULATE,35.2,1.25,1.25,0.0
2016-03-11,419.11,48.1,54.7,0,0,ACCUMULATE,40.3,1.25,1.25,0.0
2016-03-12,410.36,47.05,57.3,0,0,ACCUMULATE,26.0,1.25,1.25,0.0
2016-03-13,412.41,47.26,56.8,0,0,ACCUMULATE,27.0,1.25,1.25,0.0
2016-03-14,414.31,47.07,57.3,0,0,ACCUMULATE,26.7,1.25,1.25,0.0
2016-03-15,415.13,47.14,57.1,0,0,ACCUMULATE,27.6,1.25,1.25,0.0
2016-03-16,415.91,47.19,57.0,0,0,ACCUMULATE,28.6,1.25,1.25,0.0
2016-03-17,418.16,47.42,56.4,0,0,ACCUMULATE,33.3,1.25,1.25,0.0
2016-03-18,408.16,46.24,59.3,0,0,ACCUMULATE,17.7,1.25,1.25,0.0
2016-03-19,408.69,46.27,59.2,0,0,ACCUMULATE,18.8,1.25,1.25,0.0
2016-03-20,411.53,46.56,58.5,0,0,ACCUMULATE,19.8,1.25,1.25,0.0
2016-03-21,411.11,46.08,59.7,0,0,ACCUMULATE,14.6,1.25,1.25,0.0
2016-03-22,416.21,46.62,58.4,0,0,ACCUMULATE,22.9,1.25,1.25,0.0
2016-03-23,416.98,46.68,58.2,0,0,ACCUMULATE,23.8,1.25,1.25,0.0
2016-03-24,414.74,46.39,58.9,0,0,ACCUMULATE,20.0,1.25,1.25,0.0
2016-03-25,415.71,46.47,58.7,0,0,ACCUMULATE,20.9,1.25,1.25,0.0
2016-03-26,416.51,46.52,58.6,0,0,ACCUMULATE,21.8,1.25,1.25,0.0
2016-03-27,424.57,47.4,56.5,0,0,ACCUMULATE,39.8,1.25,1.25,0.0
2016-03-28,422.21,47.48,56.3,0,0,ACCUMULATE,42.7,1.25,1.25,0.0
2016-03-29,415.0,46.63,58.4,0,0,ACCUMULATE,25.6,1.25,1.25,0.0
2016-03-30,412.44,46.3,59.2,0,0,ACCUMULATE,18.7,1.25,1.25,0.0
2016-03-31,415.66,46.62,58.4,0,0,ACCUMULATE,26.1,1.25,1.25,0.0
2016-04-01,415.64,46.57,58.5,0,0,ACCUMULATE,23.7,1.25,1.25,0.0
2016-04-02,418.51,46.85,57.8,0,0,HOLD,31.9,1.0,1.0,0.0
2016-04-03,419.06,46.87,57.8,0,0,HOLD,32.6,1.0,1.0,0.0
2016-04-04,419.33,46.38,58.9,0,0,HOLD,18.8,1.0,1.0,0.0
2016-04-05,422.07,46.64,58.3,0,0,HOLD,28.9,1.0,1.0,0.0
2016-04-06,421.26,46.51,58.6,0,0,HOLD,21.4,1.0,1.0,0.0
2016-04-07,420.14,46.34,59.1,0,0,HOLD,18.2,1.0,1.0,0.0
2016-04-08,417.69,46.02,59.8,0,0,HOLD,12.0,1.0,1.0,0.0
2016-04-09,418.05,46.02,59.8,0,0,HOLD,12.9,1.0,1.0,0.0
2016-04-10,420.25,46.22,59.3,0,0,HOLD,16.7,1.0,1.0,0.0
2016-04-11,421.43,46.17,59.5,0,0,HOLD,15.5,1.0,1.0,0.0
2016-04-12,424.74,46.49,58.7,0,0,HOLD,25.0,1.0,1.0,0.0
2016-04-13,423.47,46.31,59.1,0,0,HOLD,21.0,1.0,1.0,0.0
2016-04-14,424.02,46.33,59.1,0,0,HOLD,21.7,1.0,1.0,0.0
2016-04-15,428.67,46.81,57.9,0,0,HOLD,37.4,1.0,1.0,0.0
2016-04-16,430.05,46.92,57.6,0,0,HOLD,41.7,1.0,1.0,0.0
2016-04-17,426.26,46.46,58.7,0,0,HOLD,24.8,1.0,1.0,0.0
2016-04-18,427.69,46.77,58.0,0,0,HOLD,37.3,1.0,1.0,0.0
2016-04-19,434.92,47.52,56.2,0,0,HOLD,54.1,1.0,1.0,0.0
2016-04-20,441.16,48.16,54.6,0,0,HOLD,61.6,1.0,1.0,0.0
2016-04-21,449.34,49.01,52.5,0,0,HOLD,66.4,1.0,1.0,0.0
2016-04-22,445.28,48.53,53.7,0,0,HOLD,64.0,1.0,1.0,0.0
2016-04-23,450.08,49.01,52.5,0,0,HOLD,67.0,1.0,1.0,0.0
2016-04-24,457.56,49.78,50.5,0,0,HOLD,69.0,1.0,1.0,0.0
2016-04-25,461.73,51.67,45.8,0,0,DERISK,78.6,0.75,0.75,0.25
2016-04-26,466.0,52.08,44.8,0,0,DERISK,81.4,0.75,0.75,0.5
2016-04-27,447.01,49.99,50.0,0,0,DERISK,68.1,0.75,0.75,0.75
2016-04-28,448.48,50.11,49.7,0,0,DERISK,68.3,0.75,0.75,1.0
2016-04-29,454.98,50.76,48.1,0,0,DERISK,73.6,0.75,0.75,1.25
2016-04-30,448.53,50.03,49.9,0,0,DERISK,67.2,0.75,0.75,1.5
2016-05-01,452.24,50.38,49.0,0,0,DERISK,69.9,0.75,0.75,1.75
2016-05-02,444.18,47.8,55.5,0,0,DERISK,52.4,0.75,0.75,2.0
2016-05-03,450.27,48.42,53.9,0,0,DERISK,57.6,0.75,0.75,2.25
2016-05-04,445.8,47.9,55.2,0,0,DERISK,52.4,0.75,0.75,2.5
2016-05-05,448.08,48.12,54.7,0,0,DERISK,55.9,0.75,0.75,2.75
2016-05-06,459.56,49.31,51.7,0,0,DERISK,64.8,0.75,0.75,3.0
2016-05-07,458.46,49.16,52.1,0,0,DERISK,64.3,0.75,0.75,3.25
2016-05-08,457.87,49.06,52.3,0,0,DERISK,63.8,0.75,0.75,3.5
2016-05-09,460.44,49.94,50.1,0,0,DERISK,67.2,0.75,0.75,3.75
2016-05-10,449.36,48.73,53.2,0,0,DERISK,59.1,0.75,0.75,4.0
2016-05-11,452.5,49.03,52.4,0,0,DERISK,63.2,0.75,0.75,4.25
2016-05-12,454.43,49.21,52.0,0,0,DERISK,64.9,0.75,0.75,4.5
2016-05-13,455.41,49.28,51.8,0,0,DERISK,65.2,0.75,0.75,4.75
2016-05-14,456.44,49.36,51.6,0,0,DERISK,66.2,0.75,0.75,5.0
2016-05-15,458.11,49.51,51.2,0,0,DERISK,66.4,0.75,0.75,5.25
2016-05-16,454.87,48.46,53.8,0,0,DERISK,54.3,0.75,0.75,5.5
2016-05-17,453.25,48.26,54.3,0,0,HOLD,52.5,1.0,1.0,5.5
2016-05-18,454.22,48.34,54.1,0,0,HOLD,52.9,1.0,1.0,5.5
2016-05-19,442.66,47.1,57.2,0,0,HOLD,36.2,1.0,1.0,5.5
2016-05-20,442.11,47.03,57.4,0,0,HOLD,34.5,1.0,1.0,5.5
2016-05-21,443.64,47.19,57.0,0,0,HOLD,38.5,1.0,1.0,5.5
2016-05-22,439.62,46.76,58.0,0,0,HOLD,28.5,1.0,1.0,5.5
2016-05-23,443.69,46.08,59.7,0,0,HOLD,10.3,1.0,1.0,5.5
2016-05-24,446.11,46.33,59.1,0,0,HOLD,17.1,1.0,1.0,5.5
2016-05-25,449.78,46.71,58.2,0,0,HOLD,29.3,1.0,1.0,5.5
2016-05-26,453.3,47.06,57.3,0,0,HOLD,37.2,1.0,1.0,5.5
2016-05-27,474.05,49.23,51.9,0,0,HOLD,66.4,1.0,1.0,5.5
2016-05-28,524.22,54.05,40.0,1,0,HOLD,90.0,1.0,1.0,5.5
2016-05-29,516.05,53.25,42.0,1,0,HOLD,88.7,1.0,1.0,5.5
2016-05-30,532.26,58.16,30.7,1,0,HOLD,95.4,1.0,1.0,5.5
2016-05-31,528.92,57.81,31.4,1,0,HOLD,92.2,1.0,1.0,5.5
2016-06-01,537.4,58.58,29.8,1,0,HOLD,96.1,1.0,1.0,5.5
2016-06-02,537.1,58.52,29.9,1,0,HOLD,95.5,1.0,1.0,5.5
2016-06-03,567.03,60.71,25.5,1,0,HOLD,100.0,1.0,1.0,5.5
2016-06-04,571.95,60.89,25.2,1,0,HOLD,100.0,1.0,1.0,5.5
2016-06-05,574.91,60.98,25.0,1,0,HOLD,100.0,1.0,1.0,5.5
2016-06-06,583.58,62.89,21.6,1,0,HOLD,100.0,1.0,1.0,5.5
2016-06-07,575.58,62.5,22.3,1,0,HOLD,99.4,1.0,1.0,5.5
2016-06-08,580.51,62.67,22.0,1,0,DERISK,99.4,0.75,0.75,5.75
2016-06-09,574.69,62.38,22.5,1,0,DERISK,98.1,0.75,0.75,6.0
2016-06-10,577.89,62.47,22.3,1,0,DERISK,98.2,0.75,0.75,6.25
2016-06-11,591.6,63.01,21.4,1,0,DERISK,100.0,0.75,0.75,6.5
2016-06-12,666.55,66.11,16.7,1,0,DERISK,100.0,0.75,0.75,6.75
2016-06-13,700.07,70.56,11.3,2,0,DERISK,100.0,0.75,0.75,7.0
2016-06-14,685.14,69.87,12.1,2,0,DERISK,99.4,0.75,0.75,7.25
2016-06-15,690.77,70.03,11.9,2,0,DERISK,99.4,0.75,0.75,7.5
2016-06-16,761.21,72.9,9.2,2,0,DERISK,100.0,0.75,0.75,7.75
2016-06-17,743.9,72.1,9.9,2,0,DERISK,99.4,0.75,0.75,8.0
2016-06-18,753.77,72.42,9.6,2,0,DERISK,99.4,0.75,0.75,8.25
2016-06-19,761.04,72.64,9.4,2,0,DERISK,99.4,0.75,0.75,8.5
2016-06-20,733.97,72.08,9.9,2,0,DERISK,97.7,0.75,0.75,8.75
2016-06-21,667.38,69.28,12.7,2,0,DERISK,95.4,0.75,0.75,9.0
2016-06-22,590.56,64.58,18.9,2,0,DERISK,94.3,0.75,0.75,9.25
2016-06-23,620.84,67.15,15.3,2,0,DERISK,94.9,0.75,0.75,9.5
2016-06-24,656.89,68.74,13.3,2,0,DERISK,94.9,0.75,0.75,9.75
2016-06-25,663.52,68.96,13.1,2,0,DERISK,94.9,0.75,0.75,10.0
2016-06-26,625.41,67.38,15.0,2,0,DERISK,93.9,0.75,0.75,10.25
2016-06-27,644.66,61.83,23.5,1,0,DERISK,88.3,0.75,0.75,10.5
2016-06-28,644.89,61.81,23.5,1,0,DERISK,87.8,0.75,0.75,10.75
2016-06-29,636.54,61.19,24.6,1,0,DERISK,87.4,0.75,0.75,11.0
2016-06-30,670.02,62.76,21.8,1,0,DERISK,90.7,0.75,0.75,11.25
2016-07-01,674.57,62.91,21.6,1,0,DERISK,91.3,0.75,0.75,11.5
2016-07-02,698.06,63.82,20.1,1,0,DERISK,91.9,0.75,0.75,11.75
2016-07-03,661.64,62.32,22.6,1,0,DERISK,87.1,0.75,0.75,12.0
2016-07-04,675.16,63.45,20.7,1,0,DERISK,91.4,0.75,0.75,12.25
2016-07-05,663.67,62.96,21.5,1,0,DERISK,90.4,0.75,0.75,12.5
2016-07-06,672.7,63.29,20.9,1,0,DERISK,91.0,0.75,0.75,12.75
2016-07-07,635.25,60.66,25.6,1,0,DERISK,82.1,0.75,0.75,13.0
2016-07-08,662.78,62.83,21.7,1,0,DERISK,88.5,0.75,0.75,13.25
2016-07-09,651.83,61.97,23.2,1,0,DERISK,84.9,0.75,0.75,13.5
2016-07-10,647.11,61.55,24.0,1,0,DERISK,83.4,0.75,0.75,13.75
2016-07-11,646.71,59.58,27.7,1,0,DERISK,80.4,0.75,0.75,14.0
2016-07-12,670.56,61.5,24.1,1,0,DERISK,83.1,0.75,0.75,14.25
2016-07-13,661.15,60.69,25.6,1,0,DERISK,80.6,0.75,0.75,14.5
2016-07-14,657.25,60.34,26.2,1,0,DERISK,79.7,0.75,0.75,14.75
2016-07-15,664.2,60.87,25.2,1,0,DERISK,81.3,0.75,0.75,15.0
2016-07-16,660.69,60.55,25.8,1,0,DERISK,79.4,0.75,0.75,15.25
2016-07-17,676.33,61.74,23.6,1,0,DERISK,84.0,0.75,0.75,15.5
2016-07-18,670.38,61.16,24.7,1,0,DERISK,82.1,0.75,0.75,15.75
2016-07-19,671.1,61.18,24.6,1,0,DERISK,82.2,0.75,0.75,16.0
2016-07-20,664.4,60.62,25.7,1,0,DERISK,78.3,0.75,0.75,16.25
2016-07-21,664.62,60.6,25.7,1,0,DERISK,77.9,0.75,0.75,16.5
2016-07-22,651.11,59.49,27.9,1,0,DERISK,76.1,0.75,0.75,16.75
2016-07-23,655.16,59.78,27.3,1,0,DERISK,76.7,0.75,0.75,17.0
2016-07-24,659.29,60.07,26.7,1,0,DERISK,76.8,0.75,0.75,17.25
2016-07-25,654.0,58.31,30.3,1,0,DERISK,71.2,0.75,0.75,17.5
2016-07-26,654.38,58.31,30.3,1,0,DERISK,71.3,0.75,0.75,17.75
2016-07-27,654.54,58.29,30.4,1,0,DERISK,70.5,0.75,0.75,18.0
2016-07-28,654.13,58.23,30.5,1,0,HOLD,69.7,1.0,1.0,18.0
2016-07-29,655.43,58.3,30.4,1,0,HOLD,70.8,1.0,1.0,18.0
2016-07-30,654.74,58.22,30.5,1,0,HOLD,69.0,1.0,1.0,18.0
2016-07-31,621.87,55.59,36.4,0,0,HOLD,64.0,1.0,1.0,18.0
2016-08-01,607.0,51.82,45.5,0,0,HOLD,57.7,1.0,1.0,18.0
2016-08-02,513.43,43.78,65.1,0,0,HOLD,0.5,1.0,1.0,18.0
2016-08-03,566.44,48.3,54.2,0,0,HOLD,38.2,1.0,1.0,18.0
2016-08-04,576.22,49.11,52.2,0,0,HOLD,45.4,1.0,1.0,18.0
2016-08-05,574.66,48.96,52.6,0,0,HOLD,42.5,1.0,1.0,18.0
2016-08-06,586.45,49.94,50.2,0,0,HOLD,50.5,1.0,1.0,18.0
2016-08-07,590.85,50.29,49.3,0,0,HOLD,52.5,1.0,1.0,18.0
2016-08-08,589.24,49.11,52.2,0,0,HOLD,45.5,1.0,1.0,18.0
2016-08-09,585.25,48.74,53.1,0,0,HOLD,41.3,1.0,1.0,18.0
2016-08-10,590.94,49.19,52.0,0,0,HOLD,46.4,1.0,1.0,18.0
2016-08-11,587.84,48.9,52.7,0,0,HOLD,41.8,1.0,1.0,18.0
2016-08-12,587.14,48.82,53.0,0,0,HOLD,41.6,1.0,1.0,18.0
2016-08-13,584.59,48.57,53.6,0,0,HOLD,40.1,1.0,1.0,18.0
2016-08-14,569.06,47.23,56.9,0,0,HOLD,27.2,1.0,1.0,18.0
2016-08-15,566.95,45.94,60.0,0,0,HOLD,5.7,1.0,1.0,18.0
2016-08-16,580.19,47.03,57.4,0,0,HOLD,24.3,1.0,1.0,18.0
2016-08-17,572.34,46.33,59.1,0,0,HOLD,12.1,1.0,1.0,18.0
2016-08-18,573.39,46.39,58.9,0,0,HOLD,13.8,1.0,1.0,18.0
2016-08-19,574.56,46.46,58.8,0,0,ACCUMULATE,14.6,1.25,1.25,17.75
2016-08-20,582.61,47.11,57.2,0,0,ACCUMULATE,27.4,1.25,1.25,17.5
2016-08-21,580.66,46.91,57.7,0,0,ACCUMULATE,23.8,1.25,1.25,17.25
2016-08-22,587.47,47.9,55.2,0,0,ACCUMULATE,35.6,1.25,1.25,17.0
2016-08-23,583.56,47.54,56.1,0,0,ACCUMULATE,32.9,1.25,1.25,16.75
2016-08-24,579.66,47.19,57.0,0,0,ACCUMULATE,29.0,1.25,1.25,16.5
2016-08-25,577.96,47.01,57.4,0,0,ACCUMULATE,24.7,1.25,1.25,16.25
2016-08-26,579.37,47.1,57.2,0,0,ACCUMULATE,27.5,1.25,1.25,16.0
2016-08-27,570.35,46.32,59.1,0,0,ACCUMULATE,10.8,1.25,1.25,15.75
2016-08-28,574.98,46.68,58.2,0,0,ACCUMULATE,19.8,1.25,1.25,15.5
2016-08-29,574.23,45.83,60.3,0,0,ACCUMULATE,5.3,1.25,1.25,15.25
2016-08-30,577.32,46.06,59.7,0,0,ACCUMULATE,7.0,1.25,1.25,15.0
2016-08-31,573.88,45.75,60.5,0,0,ACCUMULATE,5.3,1.25,1.25,14.75
2016-09-01,571.99,45.56,60.9,0,0,ACCUMULATE,4.9,1.25,1.25,14.5
2016-09-02,575.29,45.81,60.3,0,0,ACCUMULATE,6.1,1.25,1.25,14.25
2016-09-03,598.84,47.73,55.7,0,0,ACCUMULATE,36.3,1.25,1.25,14.0
2016-09-04,609.55,48.59,53.5,0,0,ACCUMULATE,45.4,1.25,1.25,13.75
